gender,ethnicity,age,height,weight,hair_color,eye_color,country
1,1,46,1.88,53,3,0,7
0,1,35,1.58,105,5,1,65
0,1,25,2.01,75,6,3,10
1,2,45,1.7,79,6,6,56
0,2,36,1.55,102,2,1,6
1,1,52,1.96,64,6,3,27
0,2,52,1.7,77,0,1,66
0,1,65,1.77,106,5,4,11
1,0,54,1.56,96,1,3,12
1,2,24,1.64,66,2,0,42
1,1,29,1.71,79,4,2,33
1,0,35,1.95,53,4,5,53
1,2,57,1.94,82,0,2,10
0,1,20,1.68,54,0,4,10
0,1,55,1.66,73,2,6,9
0,0,32,1.67,100,3,5,31
0,2,28,1.96,108,1,6,41
1,2,62,1.89,75,6,2,30
1,0,71,2.04,71,6,5,61
0,0,59,1.89,67,3,0,48
0,0,64,1.66,101,1,3,28
0,2,54,1.59,61,5,4,21
1,1,24,1.83,90,3,1,20
0,1,67,1.82,104,4,6,38
1,1,29,1.53,106,1,5,22
0,1,48,1.49,88,2,1,52
0,2,34,1.53,73,6,3,30
0,2,61,1.91,97,3,2,12
1,0,42,1.67,60,6,3,58
0,1,63,1.83,92,1,6,18
1,1,21,1.95,51,4,1,54
1,0,40,1.76,103,1,2,47
1,1,74,1.52,50,4,0,21
0,0,31,1.65,51,1,3,36
0,0,72,1.81,79,2,5,67
1,1,70,1.54,107,1,0,38
1,2,56,1.47,104,2,5,6
0,2,41,1.76,96,0,4,62
1,2,59,1.45,100,2,2,31
0,1,22,1.86,104,2,6,52
1,1,19,1.84,86,5,3,44
1,2,50,1.87,76,2,6,49
0,2,41,1.61,62,6,1,9
0,2,61,1.52,82,4,1,63
0,1,33,1.86,87,2,3,12
1,2,53,1.86,84,1,6,28
1,0,29,1.61,78,2,2,46
1,1,35,1.64,84,4,3,48
0,0,47,1.9,83,4,1,61
1,1,70,1.49,100,5,1,31
1,2,20,1.88,56,5,4,49
1,2,35,1.95,88,3,4,23
0,1,60,1.72,79,5,2,48
1,0,53,2.02,94,2,0,60
1,0,22,1.66,89,0,4,4
0,0,48,1.97,63,3,3,33
0,2,66,1.54,94,2,5,6
1,2,60,1.97,110,2,6,22
0,0,50,1.8,107,5,0,21
0,0,58,1.99,100,1,4,23
1,2,71,1.87,53,0,2,48
0,1,46,1.92,75,6,4,66
1,2,48,1.53,72,2,1,1
0,0,45,1.83,104,4,3,55
1,0,40,1.91,106,1,1,37
1,0,67,1.82,107,0,3,41
1,1,21,1.54,86,4,2,7
1,1,67,1.98,103,4,4,5
1,0,40,1.46,83,3,4,30
1,0,40,1.95,92,4,4,35
0,1,33,1.96,86,5,2,30
0,2,50,1.74,56,2,4,21
0,2,29,1.76,87,4,0,56
0,1,69,1.7,91,1,3,21
1,0,48,1.68,57,6,2,1
0,0,31,1.59,90,3,0,8
1,2,26,1.88,67,4,6,58
0,0,67,1.98,68,0,2,17
1,1,64,1.93,73,4,0,36
1,0,57,1.65,103,0,4,22
0,2,52,1.9,109,0,3,25
0,1,41,1.56,60,2,0,53
0,1,37,1.71,105,5,0,31
1,0,49,1.66,90,6,6,43
0,1,73,1.7,100,5,0,56
1,2,72,1.9,77,0,4,2
0,0,27,1.6,69,1,5,58
0,2,29,1.97,92,2,5,3
0,0,35,1.88,106,3,5,27
0,2,42,1.66,65,4,2,32
0,1,69,1.57,104,6,4,5
0,1,66,1.82,91,6,4,48
0,1,65,1.85,90,6,5,8
1,0,25,1.45,68,1,2,38
1,0,25,1.72,72,2,2,43
0,2,51,1.61,63,0,2,37
1,2,32,2.03,96,3,1,3
1,0,70,1.59,79,4,6,54
0,0,20,1.88,76,0,3,49
1,1,69,1.7,107,1,2,42
1,0,48,2.01,85,6,5,6
1,1,31,1.46,61,1,5,11
1,2,65,1.79,51,5,2,41
0,1,61,1.49,59,4,2,58
0,2,57,1.66,84,5,3,55
1,0,36,1.74,72,2,3,62
1,1,29,1.96,97,5,3,58
1,2,58,1.46,52,0,1,8
1,0,20,1.53,74,1,5,27
1,1,46,1.87,80,2,0,26
1,2,70,1.76,61,6,1,44
1,0,19,2.03,66,3,2,24
1,1,28,1.6,94,1,0,16
0,2,71,1.97,76,5,4,57
1,0,36,1.65,60,3,6,54
0,1,24,1.94,68,6,2,63
1,2,59,1.57,67,5,5,20
0,1,45,1.53,56,1,2,31
0,0,28,1.83,63,2,4,38
0,2,52,1.77,86,3,5,24
0,1,32,1.98,84,2,6,27
0,0,56,1.52,59,0,1,55
1,2,39,1.52,107,1,1,46
0,0,67,1.93,99,5,6,62
0,0,70,1.81,66,5,1,24
1,1,42,1.72,92,2,5,13
0,0,61,1.54,79,0,5,58
1,2,63,1.46,56,3,1,42
0,1,23,2.03,92,6,0,49
0,2,61,1.69,71,1,5,66
0,0,37,1.8,71,3,1,64
1,2,38,1.51,104,3,6,13
1,0,61,1.72,95,2,6,13
1,1,28,1.93,93,1,0,67
1,1,59,1.52,87,3,5,30
1,2,39,1.57,55,1,4,49
0,2,33,1.81,103,3,0,55
1,2,25,1.7,101,4,1,1
0,1,22,1.73,84,0,0,38
0,0,28,1.63,109,4,5,36
0,0,22,1.64,102,0,6,51
1,1,56,1.73,89,4,3,52
1,2,42,1.87,76,4,3,13
0,2,40,1.8,74,1,4,4
1,1,51,1.62,53,2,0,68
1,1,56,2.02,76,6,4,31
1,0,53,1.53,101,5,4,47
0,0,73,1.76,72,0,0,48
1,0,55,1.93,62,2,3,44
0,2,50,1.58,82,2,3,50
0,0,28,1.49,54,4,2,58
0,0,29,1.71,82,0,3,16
0,2,64,1.96,107,6,2,36
0,0,19,1.9,90,6,4,64
0,0,35,1.92,63,3,6,60
0,2,39,1.71,106,1,4,11
0,2,44,1.88,93,1,3,40
0,0,58,1.45,70,5,4,0
0,0,19,1.77,59,4,2,19
1,1,49,2.05,88,2,5,7
0,0,70,1.69,56,5,4,24
0,1,34,2.01,64,1,2,66
0,1,25,1.66,72,1,2,2
0,0,42,1.75,97,0,3,7
1,2,21,1.84,78,4,2,28
1,0,56,1.76,79,3,5,32
0,2,67,1.79,74,3,4,49
1,0,28,1.66,75,2,0,23
0,0,56,1.49,62,0,3,51
0,2,26,1.95,70,3,2,62
1,1,31,1.56,96,3,4,0
1,1,62,1.56,55,4,6,56
0,0,41,1.46,56,0,6,67
0,0,59,2.02,64,5,4,36
1,0,21,1.6,106,4,0,33
0,2,26,1.73,66,1,2,17
0,0,21,1.83,101,4,3,54
1,1,71,2.01,57,5,2,44
1,2,70,1.55,76,5,1,12
0,1,49,2.02,66,4,3,45
1,2,46,1.6,61,5,3,36
0,2,41,1.59,81,4,2,68
0,0,46,2.04,74,4,0,27
1,1,61,1.48,68,0,2,22
0,1,64,1.57,60,5,6,9
0,2,21,1.56,62,6,4,62
0,2,24,1.5,52,6,5,19
0,1,30,1.64,99,0,0,26
0,2,23,1.91,109,2,2,62
1,0,27,1.76,86,5,5,20
1,1,64,2,103,2,5,57
0,1,69,2,109,3,3,13
0,1,34,2.01,86,6,3,27
0,0,26,1.67,78,5,3,6
0,2,71,1.49,76,6,1,32
0,0,66,1.67,76,5,1,2
0,0,32,1.64,59,0,3,43
1,0,26,1.9,68,3,3,40
1,0,62,1.95,70,2,5,67
1,1,68,1.97,62,0,1,29
1,1,73,1.81,86,0,1,44
1,1,63,1.72,84,6,3,8
1,2,53,2.02,102,1,1,55
0,0,63,1.72,93,4,4,37
0,2,53,1.91,88,3,6,44
1,1,35,1.83,64,4,6,18
1,0,49,1.97,99,6,5,10
1,0,67,1.63,108,5,3,30
0,2,59,1.62,108,6,3,60
0,1,44,1.93,96,0,0,17
1,0,64,1.81,55,2,2,58
1,0,46,1.47,85,0,2,47
0,1,72,1.72,72,2,6,63
1,2,60,1.55,52,3,1,17
1,0,56,1.62,60,6,6,12
0,0,45,1.54,72,0,4,67
0,0,25,2.03,57,2,3,66
1,1,39,2,58,5,4,29
0,0,41,1.99,56,5,0,51
0,0,62,2,54,4,3,42
0,0,40,1.56,67,6,5,51
1,2,39,1.98,102,4,5,54
0,0,49,1.93,83,6,4,6
1,2,63,1.73,92,5,0,6
1,1,36,1.75,88,4,5,43
0,0,37,1.76,50,1,0,34
1,1,39,1.94,93,5,3,13
0,0,37,1.51,78,5,5,24
1,2,29,1.85,78,0,3,53
0,2,58,1.7,90,0,4,37
0,1,69,2.02,55,3,3,52
0,0,32,1.66,51,2,3,8
1,2,19,1.77,102,6,5,67
1,0,22,1.47,73,6,4,15
0,0,45,1.75,72,1,1,4
1,0,62,1.84,87,0,6,2
0,1,63,1.87,77,5,5,34
1,2,25,1.72,70,2,0,5
0,2,56,1.61,95,4,5,16
1,2,36,1.66,82,2,1,64
1,1,39,1.57,64,1,3,34
1,0,39,2.05,89,3,4,2
0,2,74,1.64,88,4,5,21
0,1,34,1.95,103,1,3,11
1,1,49,1.54,56,6,5,23
1,1,45,1.88,84,4,6,68
1,1,32,1.64,75,4,2,43
1,2,68,1.87,98,6,2,47
0,0,57,1.45,94,5,0,64
0,0,71,1.9,95,3,6,56
1,0,25,1.67,96,6,0,48
0,0,63,2,107,2,3,20
0,2,53,1.65,101,1,3,33
1,2,54,1.69,56,2,1,60
1,1,28,1.52,50,0,5,40
1,1,31,1.79,56,4,4,34
0,0,31,1.95,75,6,3,38
1,1,39,1.52,105,4,3,35
0,2,35,1.54,109,0,2,16
0,1,63,1.84,102,4,4,58
1,1,33,1.62,84,3,3,22
1,2,59,1.83,53,5,1,17
1,0,64,1.65,93,2,3,9
1,1,67,1.98,99,4,5,41
1,1,67,1.97,99,2,5,42
1,0,46,1.78,62,2,5,65
1,0,25,1.95,108,2,2,6
0,2,69,1.67,78,1,5,67
0,2,72,1.62,104,2,2,23
0,0,72,1.59,64,4,1,29
1,2,27,1.56,52,5,4,67
0,2,43,1.45,84,2,1,16
0,2,47,1.57,78,6,5,68
1,2,73,1.88,94,2,1,58
1,0,59,1.54,54,6,4,53
1,0,59,1.89,91,4,4,52
1,2,19,1.66,67,3,4,7
0,1,60,1.63,50,2,0,4
1,0,56,1.8,109,3,3,62
0,1,27,1.5,103,6,5,48
1,0,56,1.93,90,5,1,14
1,1,63,1.92,94,0,1,7
0,0,63,1.74,110,2,2,51
1,2,38,1.51,54,3,5,54
0,0,44,1.58,50,0,4,8
0,0,19,1.74,67,1,4,31
0,0,50,1.56,80,5,4,11
0,2,30,1.46,52,3,4,43
0,0,60,2.04,107,1,2,50
1,1,35,1.6,83,1,2,54
0,0,33,1.6,94,6,0,40
1,0,68,1.8,77,6,2,58
0,2,72,1.97,59,5,2,9
1,1,72,1.78,60,2,4,16
0,2,47,1.47,93,2,4,62
0,1,49,1.52,109,6,5,3
0,2,30,1.46,103,3,0,3
0,1,45,1.86,58,4,3,11
0,2,33,1.58,57,3,1,22
1,1,51,1.83,109,6,1,60
1,2,46,2.02,110,5,5,59
1,1,71,1.61,58,0,1,68
1,0,54,1.76,93,6,2,46
1,2,73,1.57,58,5,0,54
1,0,50,1.85,75,4,2,42
0,0,29,1.68,102,6,5,3
1,0,64,1.98,74,5,1,20
1,1,66,2.01,100,3,4,15
0,2,55,1.9,109,6,0,62
1,1,20,1.53,107,4,4,33
1,1,60,1.83,81,1,1,35
1,0,47,1.56,73,3,5,54
0,2,34,1.84,55,1,0,30
0,1,68,1.87,84,4,1,22
1,1,25,1.81,63,2,5,20
0,0,53,1.55,76,3,6,48
0,0,43,1.47,83,2,2,44
1,0,69,1.86,92,6,2,20
0,0,68,1.46,66,4,5,19
1,2,48,1.65,103,1,6,50
0,0,47,1.99,76,5,4,27
0,0,21,1.64,103,6,4,42
0,0,63,1.91,109,4,0,34
0,2,52,2.02,73,3,2,37
0,2,20,1.99,57,4,2,38
1,1,63,1.74,88,2,2,28
0,2,34,1.75,52,2,4,59
0,0,43,1.65,79,0,3,46
0,0,61,1.45,107,6,5,9
0,2,41,1.75,95,6,5,37
1,1,25,1.47,55,2,1,67
1,1,20,1.9,74,3,4,15
1,1,70,1.52,105,6,6,6
0,0,40,2.01,85,5,3,52
0,0,68,1.84,94,4,6,44
1,2,57,1.93,67,3,3,17
0,0,63,1.74,92,6,0,30
0,0,55,1.97,78,0,6,11
0,1,61,1.51,58,0,2,28
1,2,40,1.56,79,5,2,7
1,0,46,1.84,76,5,1,53
0,0,56,1.58,97,2,2,6
0,0,64,1.67,76,5,5,0
1,0,48,1.75,93,4,5,31
1,2,30,1.83,94,5,0,9
1,1,49,1.71,94,5,2,17
0,1,63,1.93,81,3,1,58
1,1,67,1.63,77,2,5,32
1,1,40,1.53,85,4,4,62
0,2,41,1.96,90,6,1,62
1,2,24,1.93,93,6,4,39
0,1,63,1.96,55,1,1,48
0,1,47,1.83,71,3,5,42
0,2,61,1.73,91,1,2,50
0,2,64,1.72,71,4,1,30
1,0,43,1.47,55,2,0,53
1,2,21,1.73,56,3,3,42
0,0,60,1.45,91,0,0,33
1,0,30,1.97,88,4,2,28
1,1,41,1.68,60,0,5,54
1,0,34,1.5,82,2,5,9
1,2,72,1.69,68,4,0,9
1,2,50,1.72,82,1,6,51
1,1,33,1.88,57,5,4,24
0,2,40,1.91,54,3,5,9
1,0,60,2.05,106,1,4,47
0,1,66,1.96,108,1,2,20
1,2,36,1.82,56,6,6,23
0,0,34,1.77,65,3,1,10
0,2,72,2.03,81,5,1,30
1,1,23,1.67,52,1,0,12
0,0,55,1.66,68,0,0,21
1,0,24,1.75,93,1,3,62
0,0,71,1.95,102,0,3,0
0,2,67,1.48,75,4,5,55
0,2,41,1.69,74,5,2,55
0,0,39,1.8,98,1,6,15
0,0,39,1.61,64,6,0,8
0,2,44,1.48,59,5,3,6
1,0,51,1.86,59,2,1,21
0,2,67,1.54,87,4,3,8
1,0,27,1.96,59,1,6,37
1,2,36,1.65,78,0,2,45
1,0,25,1.61,99,1,2,20
0,1,67,1.68,106,5,2,28
0,2,73,1.52,64,5,5,18
0,1,58,2.01,84,0,5,53
0,2,25,1.67,65,4,1,46
0,0,32,1.64,79,0,6,33
1,0,20,1.97,60,0,2,5
0,0,20,1.47,61,6,1,68
0,0,73,1.79,104,2,2,38
1,2,48,1.72,84,2,4,64
1,1,32,1.66,82,2,5,5
1,1,45,1.52,88,2,0,64
1,1,46,1.6,107,6,0,59
1,0,60,1.7,76,6,5,28
0,1,68,1.87,69,1,2,6
1,1,39,1.63,107,3,1,43
0,2,59,1.63,82,2,1,47
1,1,45,1.87,85,5,1,17
1,0,25,1.59,95,4,5,11
0,0,72,1.67,78,6,5,43
1,1,63,1.89,87,4,0,62
0,0,49,1.91,65,6,6,13
1,0,71,1.71,61,3,0,29
1,1,72,1.49,106,5,4,4
0,0,25,1.65,94,1,4,26
1,2,47,1.52,104,1,1,40
0,1,34,1.49,100,6,6,66
1,1,62,1.49,63,5,0,42
0,1,48,1.68,50,2,1,68
0,2,23,1.66,107,3,3,0
1,1,28,1.89,96,0,2,5
0,0,21,1.88,72,2,1,57
0,1,25,1.67,63,1,1,7
0,0,21,1.49,101,5,1,38
0,0,31,1.48,64,6,2,64
0,0,43,1.93,73,3,5,12
1,2,44,1.87,99,5,4,24
1,1,53,1.97,73,0,3,19
1,2,73,1.72,50,5,4,22
0,2,46,1.79,68,1,1,57
1,2,22,1.89,65,1,2,58
1,2,54,1.66,64,2,6,46
1,2,48,1.56,99,6,2,68
1,2,43,1.63,99,3,4,35
0,1,51,1.77,107,3,4,11
0,0,64,1.49,87,4,4,13
0,0,47,1.47,75,6,6,30
1,0,72,1.95,104,1,6,50
0,0,40,1.84,56,2,5,51
1,2,48,1.96,74,4,0,30
0,2,35,1.45,93,4,6,39
1,1,67,1.61,73,0,6,43
1,1,36,2.01,104,6,0,22
1,1,53,1.98,95,0,1,67
0,2,40,1.59,78,6,5,45
1,1,36,1.61,50,2,1,44
0,1,35,1.82,95,0,1,1
0,1,57,2.02,85,6,2,39
0,2,68,1.96,99,6,4,57
1,0,48,2.03,63,5,3,4
0,2,26,1.83,99,2,4,16
0,2,39,1.84,54,0,3,56
0,0,31,1.46,82,6,4,66
0,0,21,1.65,109,4,6,40
0,0,32,1.45,91,0,6,65
1,1,52,1.58,60,3,3,61
0,2,63,1.86,99,4,5,0
1,2,72,1.75,63,6,0,57
1,0,67,1.98,67,1,3,7
1,1,37,1.52,90,3,3,5
1,2,67,1.84,63,0,2,22
0,2,44,1.7,61,5,4,66
0,0,21,1.75,57,3,1,46
1,2,64,1.91,95,5,0,53
1,1,36,1.97,55,2,0,54
1,2,40,1.89,97,4,1,67
0,0,21,1.77,98,0,0,54
1,0,64,1.96,72,3,1,29
0,2,33,1.63,71,6,0,63
1,0,26,1.89,69,2,0,42
0,1,50,1.5,67,5,4,68
0,1,51,1.77,105,1,0,56
1,2,38,1.87,107,4,1,42
1,0,27,1.67,87,5,1,6
1,0,73,1.91,86,4,0,11
0,2,62,1.55,83,1,2,37
1,0,50,1.69,55,3,6,31
1,1,59,1.55,86,6,2,7
1,1,21,1.79,79,2,1,6
1,0,69,1.74,55,6,1,16
1,1,58,1.58,68,2,1,14
0,1,35,1.98,51,0,6,24
0,1,66,1.54,107,5,3,49
1,2,42,1.53,69,0,0,46
0,2,67,1.56,104,3,5,63
1,1,32,1.9,87,0,5,32
1,2,31,1.56,91,1,4,11
0,1,42,1.77,101,5,6,7
0,0,31,1.86,76,6,3,17
1,1,28,1.46,82,5,1,54
1,0,23,1.81,98,1,1,5
1,2,43,1.58,65,2,1,65
1,1,26,1.75,89,6,2,14
